timestamp,direction,speed
2022-07-30,0,0.46
2022-07-30,0,0.482
2022-07-30,0,0.489
2022-07-30,0,0.369
2022-07-30,0,0.576
2022-07-30,0,0.623
2022-07-30,0,0.718
2022-07-30,0,0.684
2022-07-30,0,0.824
2022-07-30,0,0.88
2022-07-30,0,0.339
2022-07-30,0,1.519
2022-07-30,90,0.335
2022-07-30,90,0.942
2022-07-30,90,0.535
2022-07-30,90,0.34
2022-07-30,90,1.285
2022-07-30,90,6.2
2022-07-30,270,6.9
2022-07-30,270,6.9
2022-07-30,270,6
2022-07-30,270,0.665
2022-07-30,270,6.9
2022-07-30,270,1.022
2022-07-30,270,0.936
2022-07-30,270,0.215
2022-07-30,270,0.573
2022-07-30,270,0.876
2022-07-30,135,1.575
2022-07-30,135,0.978
2022-07-30,135,1.344
2022-07-30,135,2.214
2022-07-30,135,3.881
2022-07-30,135,3.752
2022-07-30,135,0.605
2022-07-30,45,2.814
2022-07-30,135,5.89
2022-07-30,135,4.771
2022-07-30,45,6.097
2022-07-30,45,3.381
2022-07-30,45,2.835
2022-07-30,45,3.933
2022-07-30,45,0.866
2022-07-30,45,0.802
2022-07-30,90,1.078
2022-07-30,90,0.639
2022-07-30,90,1.438
2022-07-30,90,0.94
2022-07-30,90,1.84
2022-07-30,270,1.558
2022-07-30,270,1.05
2022-07-30,270,1.48
2022-07-30,270,1.614
2022-07-30,270,1.417
2022-07-30,270,0.996
2022-07-30,270,2.273
2022-07-30,270,0.322
2022-07-30,270,1.292
2022-07-30,270,0.985
2022-07-30,270,0.896
2022-07-30,90,0.675
2022-07-30,270,0.401
2022-07-30,270,0.466
2022-07-30,90,0.426
2022-07-30,90,0.452
2022-07-30,270,0.295
2022-07-30,90,0.887
2022-07-30,90,1.215
2022-07-30,90,0.777
2022-07-30,90,2.124
2022-07-30,90,4.088
2022-07-30,90,0.732
2022-07-30,90,1.369
2022-07-30,90,0.217
2022-07-30,90,0.703
2022-07-30,90,0.348
2022-07-30,135,0.214
2022-07-30,135,0.179
2022-07-30,45,0.269
2022-07-30,180,0.748
2022-07-30,180,0.641
2022-07-30,180,0.148
2022-07-30,180,0.817
2022-07-30,0,0.311
2022-07-30,45,1.287
2022-07-30,180,1.204
2022-07-30,45,0.39
2022-07-30,180,1.418
2022-07-30,0,2.637
2022-07-30,45,0.247
2022-07-30,45,0.26
2022-07-30,45,0.227
